COUNTYCDE,NUM_ACCIDENTS
001,89
003,1546
005,194
007,12
009,27
011,226
013,64
015,50
017,170
019,405
021,75
023,135
025,34
027,28
029,169
031,89
033,148
035,371
037,142
039,775
041,44
043,241
045,63
047,44
049,88
051,88
053,267
055,108
057,869
059,214
061,111
063,445
065,108
067,284
069,166
071,157
073,125
075,51
077,82
079,67
081,356
083,90
085,315
087,96
089,1674
091,465
093,153
095,449
097,3351
099,220
101,13
103,119
105,377
107,111
109,234
111,36
113,168
115,20
117,62
119,65
121,36
123,44
125,9
127,524
129,46
131,66
133,121
135,57
137,80
139,53
141,1121
143,53
145,166
147,43
149,73
151,172
153,45
155,8
157,713
159,45
161,6
163,563
165,41
167,318
169,86
171,25
173,150
175,59
177,238
179,104
181,95
183,141
