AGENCYORITXT	AGENCYORIDESCR	COUNT_AGENCYORITXT	AVG_RESPONSETIME	COUNTYDESCR	CITYDESCR
790100	LAFAYETTE PD	141	10.3121	Tippecan	Lafayette
340100	KOKOMO PD	125	8.776	Howard	Kokomo
820100	EVANSVILLE PD	124	13.1532	Vanderbu	Evansville
180100	MUNCIE PD	108	10.1111	Delaware	Muncie
200200	GOSHEN PD	100	7.04	Elkhart	Goshen (Elkhart Coun
290700	FISHERS PD	89	12.0225	Hamilton	Fishers
200100	ELKHART PD	78	9.5641	Elkhart	Elkhart
220100	NEW ALBANY PD	76	6.8421	Floyd	New Albany
480200	ANDERSON PD	70	10.0571	Madison	Anderson
100200	CLARKSVILLE PD	64	3.6719	Clark	Clarksville (Clark C
20100	FORT WAYNE PD	58	8.069	Allen	Fort Wayne
270200	MARION PD	58	9.8621	Grant	Marion (Grant County
460200	MICHIGAN CITY PD	58	2.8966	LaPorte	Michigan City
290100	CARMEL PD	57	6.6667	Hamilton	Carmel
190200	JASPER PD	56	7.6786	Dubois	Jasper
290200	NOBLESVILLE PD	56	11.8036	Hamilton	Noblesville
710100	MISHAWAKA PD	49	10.449	St Josep	Mishawaka
710200	SOUTH BEND PD	48	9.0208	St Josep	South Bend
840100	TERRE HAUTE PD	47	5.5745	Vigo	Terre Haute
790200	WEST LAFAYETTE PD	46	5.5652	Tippecan	West Lafayette
760100	ANGOLA PD	45	3.8889	Steuben	Angola
530100	BLOOMINGTON PD	43	10.3023	Monroe	Bloomington
470100	BEDFORD PD	41	4.0488	Lawrence	Bedford
320300	PLAINFIELD PD	38	12.2368	Hendrick	Plainfield (Hendrick
451600	SCHERERVILLE PD	37	6.4865	Lake	Schererville
430100	WARSAW PD	35	23.5714	Kosciusk	Warsaw
120100	FRANKFORT PD	33	5.5152	Clinton	Frankfort
450600	GRIFFITH PD	33	7.5758	Lake	Griffith
890100	RICHMOND PD	33	5.8485	Wayne	Richmond
450200	CROWN POINT PD	32	10.2813	Lake	Crown Point
150200	LAWRENCEBURG PD	31	5.9032	Dearborn	Lawrenceburg
320100	BROWNSBURG PD	31	5.8387	Hendrick	Brownsburg
321100	AVON PD	29	4.6207	Hendrick	Avon
400100	NORTH VERNON PD	29	9.6552	Jennings	North Vernon
410200	FRANKLIN PD	29	4.9655	Johnson	Franklin (Johnson Co
500200	PLYMOUTH PD	29	6.6207	Marshall	Plymouth
250100	ROCHESTER PD	28	5.2143	Fulton	Rochester
640300	VALPARAISO PD	28	7.8214	Porter	Valparaiso
920100	COLUMBIA CITY PD	28	6.0357	Whitley	Columbia City
170100	AUBURN PD	26	5.3077	De Kalb	Auburn
490300	SPEEDWAY PD	26	4.3462	Marion	Speedway
100300	JEFFERSONVILLE PD	25	3.68	Clark	Jeffersonville
210100	CONNERSVILLE PD	25	4.6	Fayette	Connersville
540100	CRAWFORDSVILLE PD	25	12.64	Montgome	Crawfordsville
550200	MOORESVILLE PD	25	3.8	Morgan	Mooresville
290400	WESTFIELD PD	23	8.5652	Hamilton	Westfield (Hamilton 
730100	SHELBYVILLE PD	22	9.4545	Shelby	Shelbyville
30100	COLUMBUS PD	21	6.4286	Bartholo	Columbus
310000	HARRISON SD	21	6.619	Harrison	Corydon
390100	MADISON PD	21	6.3333	Jefferso	Madison
450500	GARY PD	21	11	Lake	Gary
490200	LAWRENCE PD	21	4.4762	Marion	Lawrence
350100	HUNTINGTON PD	20	4	Huntingt	Huntington
530000	MONROE SD	19	9.1579	Monroe	Bloomington
60100	LEBANON PD	19	6.3158	Boone	Lebanon
451300	DYER PD	18	4.2222	Lake	Dyer
480300	ELWOOD PD	18	5.8333	Madison	Elwood
490400	IND UNIV PUR UNIV INDPLS PD	18	1.9444	Marion	Indianapolis
640200	PORTAGE PD	18	6.6667	Porter	Portage
160100	GREENSBURG PD	16	5.0625	Decatur	Greensburg
320200	DANVILLE PD	16	5.6875	Hendrick	Danville
850200	WABASH PD	16	4.8125	Wabash	Wabash
270100	GAS CITY PD	15	5.6667	Grant	Gas City
420200	VINCENNES PD	15	7	Knox	Vincennes
820000	VANDERBURGH SD	15	12	Vanderbu	Evansville
460100	LAPORTE PD	14	12.8571	LaPorte	La Porte
